primary_country,name,category,tags,is_international,langlinks,justification,status,person_id,validation
US,Larry Ellison,business,US,NO,66,66 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845de,
US,Larry Page,business,US,NO,91,91 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845d7,
US,LeBron James,sport,"US, international",YES,96,96 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e817,
US,Leonardo DiCaprio,culture,"US, international",YES,126,126 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f1,
US,Mark Zuckerberg,business,"US, international",YES,142,142 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e802,
US,Meryl Streep,culture,"US, international",YES,113,113 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f2,
US,Michael Bloomberg,business,US,NO,71,71 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845df,
US,Michael Phelps,sport,US,NO,99,99 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe84603,
US,Michelle Obama,politics,US,NO,111,111 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe84618,
US,Mike Tyson,sport,US,NO,90,90 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe8460a,
US,MrBeast,culture,US,NO,66,66 Wikipedia langs | Primarily US,new,,
US,Oprah Winfrey,culture,"US, international",YES,102,102 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e805,
US,Patrick Mahomes,sport,US,NO,31,31 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe84608,
US,Reed Hastings,business,US,NO,23,23 Wikipedia langs | Primarily US,existing,69136cb59a7ab512fd98e815,
US,Robert Downey Jr.,culture,"US, international",YES,99,99 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f8,
US,Sam Altman,business,"US, international",YES,61,61 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845da,
US,Satya Nadella,business,US,NO,54,54 Wikipedia langs | Primarily US,existing,69136cb59a7ab512fd98e803,
US,Scarlett Johansson,culture,"US, international",YES,137,137 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f7,
US,Serena Williams,sport,"US, international",YES,104,104 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e816,
US,Sergey Brin,business,US,NO,87,87 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845d8,
US,Sheryl Sandberg,business,US,NO,53,53 Wikipedia langs | Primarily US,existing,69136cb59a7ab512fd98e814,
US,Simone Biles,sport,"US, international",YES,61,61 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84604,
US,Stephen Curry,sport,US,NO,70,70 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe84600,
US,Sundar Pichai,business,US,NO,63,63 Wikipedia langs | Primarily US,existing,69136cb59a7ab512fd98e801,
US,Taylor Swift,culture,"US, international",YES,153,153 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e806,
US,Tiger Woods,sport,"US, international",YES,85,85 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe84605,
US,Tim Cook,business,"US, international",YES,66,66 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e800,
US,Tom Brady,sport,US,NO,51,51 Wikipedia langs | Primarily US,existing,69be73afd197e3104fe845fb,
US,Tom Cruise,other,"US, international",YES,111,111 Wikipedia langs | Global recognition confirmed,existing,69be7ba490500170a07252c1,
US,Tom Hanks,culture,"US, international",YES,119,119 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845f0,
US,Travis Kelce,sport,US,NO,26,26 Wikipedia langs | Primarily US,new,,
US,Warren Buffett,business,"US, international",YES,103,103 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e804,
US,Zendaya,culture,"US, international",YES,88,88 Wikipedia langs | Global recognition confirmed,existing,69724f6baabde3d610cdddd6,
