primary_country,name,category,tags,is_international,langlinks,justification,status,person_id,validation
CH,Loïc Meillard,sport,CH,NO,23,23 Wikipedia langs | Primarily CH,new,,
CH,Marc Forster,culture,CH,NO,40,40 Wikipedia langs | Primarily CH,new,,
CH,Marco Odermatt,sport,CH,NO,31,31 Wikipedia langs | Primarily CH,new,,
CH,Martina Hingis,sport,CH,NO,76,76 Wikipedia langs | Primarily CH,new,,
CH,Nemo,culture,CH,NO,42,42 Wikipedia langs | Primarily CH,new,,
CH,Patrick Fischer,sport,CH,NO,0,Not found on Wikipedia EN | Primarily CH,new,,
CH,Roger Federer,sport,"CH, international",YES,139,139 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845fa,
CH,Stan Wawrinka,sport,CH,NO,64,64 Wikipedia langs | Primarily CH,new,,
CH,Stephan Eicher,culture,CH,NO,13,13 Wikipedia langs | Primarily CH,new,,
CH,Stress,culture,CH,NO,0,Not found on Wikipedia EN | Primarily CH,new,,
CH,Ursula Andress,culture,CH,NO,62,62 Wikipedia langs | Primarily CH,new,,
CH,Wendy Holdener,sport,CH,NO,26,26 Wikipedia langs | Primarily CH,new,,
CH,Xherdan Shaqiri,sport,CH,NO,64,64 Wikipedia langs | Primarily CH,new,,
CN,Jack Ma,business,CN,NO,79,79 Wikipedia langs | Primarily CN,existing,69be73afd197e3104fe845e0,
CN,Xi Jinping,politics,"CN, international",YES,155,155 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e812,
CO,Shakira,culture,"CO, international",YES,149,149 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845ed,
DE,Angela Merkel,politics,"DE, international",YES,172,172 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e811,
DE,Bastian Schweinsteiger,sport,DE,NO,73,73 Wikipedia langs | Primarily DE,new,,
DE,Bibi Claßen,culture,DE,NO,0,0 Wikipedia langs | Primarily DE,new,,
DE,Boris Becker,sport,DE,NO,70,70 Wikipedia langs | Primarily DE,new,,
DE,Capital Bra,culture,DE,NO,12,12 Wikipedia langs | Primarily DE,new,,
DE,Daniel Brühl,culture,DE,NO,54,54 Wikipedia langs | Primarily DE,new,,
DE,Diane Kruger,culture,DE,NO,73,73 Wikipedia langs | Primarily DE,new,,
DE,Florian Wirtz,sport,DE,NO,51,51 Wikipedia langs | Primarily DE,new,,
DE,Friedrich Merz,politics,DE,NO,86,86 Wikipedia langs | Primarily DE,new,,
DE,Heidi Klum,culture,DE,NO,69,69 Wikipedia langs | Primarily DE,new,,
DE,Jamal Musiala,sport,DE,NO,54,54 Wikipedia langs | Primarily DE,new,,
DE,Julien Bam,culture,DE,NO,2,2 Wikipedia langs | Primarily DE,new,,
DE,Lena Meyer-Landrut,culture,DE,NO,73,73 Wikipedia langs | Primarily DE,new,,
DE,Manuel Neuer,sport,DE,NO,93,93 Wikipedia langs | Primarily DE,new,,
DE,Mick Schumacher,sport,DE,NO,46,46 Wikipedia langs | Primarily DE,new,,
DE,Montanablack,culture,DE,NO,0,Not found on Wikipedia EN | Primarily DE,new,,
DE,Olaf Scholz,politics,DE,NO,108,108 Wikipedia langs | Primarily DE,existing,69be73afd197e3104fe84610,
DE,Oliver Kahn,sport,DE,NO,74,74 Wikipedia langs | Primarily DE,new,,
DE,Rammstein,culture,DE,NO,87,87 Wikipedia langs | Primarily DE,new,,
DE,Robert Habeck,politics,DE,NO,40,40 Wikipedia langs | Primarily DE,new,,
DE,Sebastian Vettel,sport,DE,NO,88,88 Wikipedia langs | Primarily DE,new,,
DE,Thomas Müller,sport,DE,NO,89,89 Wikipedia langs | Primarily DE,new,,
DE,Till Lindemann,culture,DE,NO,51,51 Wikipedia langs | Primarily DE,new,,
DE,Toni Kroos,sport,DE,NO,78,78 Wikipedia langs | Primarily DE,new,,
DE,Ursula von der Leyen,politics,DE,NO,98,98 Wikipedia langs | Primarily DE,existing,69136cb59a7ab512fd98e81c,
EG,Mohamed Salah,sport,"EG, international",YES,95,95 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe8460b,
ES,Aitana Bonmatí,sport,ES,NO,43,43 Wikipedia langs | Primarily ES,new,,
ES,Alejandro Sanz,culture,ES,NO,40,40 Wikipedia langs | Primarily ES,new,,
ES,Amancio Ortega,business,ES,NO,53,53 Wikipedia langs | Primarily ES,new,,
ES,Ana de Armas,culture,ES,NO,60,60 Wikipedia langs | Primarily ES,new,,
ES,Antonio Banderas,culture,ES,NO,86,86 Wikipedia langs | Primarily ES,new,,
ES,C. Tangana,culture,ES,NO,10,10 Wikipedia langs | Primarily ES,new,,
ES,Carlos Alcaraz,sport,ES,NO,60,60 Wikipedia langs | Primarily ES,new,,
ES,Dani Carvajal,sport,ES,NO,66,66 Wikipedia langs | Primarily ES,new,,
ES,Enrique Iglesias,culture,ES,NO,89,89 Wikipedia langs | Primarily ES,new,,
ES,Gavi,sport,ES,NO,58,58 Wikipedia langs | Primarily ES,new,,
ES,Ibai Llanos,culture,ES,NO,10,10 Wikipedia langs | Primarily ES,new,,
ES,Iker Casillas,sport,ES,NO,93,93 Wikipedia langs | Primarily ES,new,,
ES,Javier Bardem,culture,ES,NO,74,74 Wikipedia langs | Primarily ES,new,,
ES,King Felipe VI,politics,ES,NO,107,107 Wikipedia langs | Primarily ES,new,,
ES,Lamine Yamal,sport,ES,NO,74,74 Wikipedia langs | Primarily ES,new,,
ES,Leticia Ortiz,politics,ES,NO,53,53 Wikipedia langs | Primarily ES,new,,
ES,Pedri,sport,ES,NO,58,58 Wikipedia langs | Primarily ES,new,,
ES,Pedro Almodóvar,culture,ES,NO,80,80 Wikipedia langs | Primarily ES,new,,
ES,Pedro Sánchez,politics,ES,NO,85,85 Wikipedia langs | Primarily ES,existing,69be73afd197e3104fe84612,
ES,Penélope Cruz,culture,ES,NO,101,101 Wikipedia langs | Primarily ES,new,,
ES,Rafael Nadal,sport,"ES, international",YES,134,134 Wikipedia langs | Global recognition confirmed,existing,69be73afd197e3104fe845fd,
ES,Rosalía,culture,ES,NO,53,53 Wikipedia langs | Primarily ES,new,,
ES,Santiago Abascal,politics,ES,NO,30,30 Wikipedia langs | Primarily ES,new,,
ES,TheGrefg,culture,ES,NO,4,4 Wikipedia langs | Primarily ES,new,,
FR,Antoine Griezmann,sport,FR,NO,93,93 Wikipedia langs | Primarily FR,new,,
FR,Aurélien Tchouaméni,sport,FR,NO,52,52 Wikipedia langs | Primarily FR,new,,
FR,Aya Nakamura,culture,FR,NO,39,39 Wikipedia langs | Primarily FR,new,,
FR,Bernard Arnault,business,FR,NO,62,62 Wikipedia langs | Primarily FR,existing,69be73afd197e3104fe845dd,
FR,Brigitte Macron,politics,FR,NO,51,51 Wikipedia langs | Primarily FR,new,,
FR,Cyril Hanouna,culture,FR,NO,8,8 Wikipedia langs | Primarily FR,new,,
FR,Daft Punk,culture,FR,NO,66,66 Wikipedia langs | Primarily FR,new,,
FR,Emmanuel Macron,politics,"FR, international",YES,165,165 Wikipedia langs | Global recognition confirmed,existing,69136cb59a7ab512fd98e80f,
