name,category,primary_country,country_tags,is_international,langlinks_count,justification,validation,person_id
Serena Williams,sport,US,"US, international",YES,104,104 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e816
Sergey Brin,business,US,"US, RU, international",YES,87,87 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845d8
Shakira,culture,CO,"CO, international",YES,149,149 Wikipedia languages | Known nationality: CO | International (20+ langs),,69be73afd197e3104fe845ed
Sheryl Sandberg,business,US,"US, international",YES,53,53 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e814
Simone Biles,sport,US,"US, international",YES,61,61 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe84604
Stephen Curry,sport,US,"US, international",YES,70,70 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe84600
Sundar Pichai,business,US,"US, IN, international",YES,63,63 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e801
Taylor Swift,culture,US,"US, international",YES,153,153 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e806
The Weeknd,culture,CA,"CA, international",YES,67,67 Wikipedia languages | Known nationality: CA | International (20+ langs),,69be73afd197e3104fe845ea
Tiger Woods,sport,US,"US, international",YES,85,85 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe84605
Tim Cook,business,US,"US, international",YES,66,66 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e800
Tom Brady,sport,US,"US, international",YES,51,51 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845fb
Tom Cruise,other,US,"US, international",YES,111,111 Wikipedia languages | Known nationality: US | International (20+ langs),,69be7ba490500170a07252c1
Tom Hanks,culture,US,"US, international",YES,119,119 Wikipedia languages | Known nationality: US | International (20+ langs),,69be73afd197e3104fe845f0
Ursula von der Leyen,politics,DE,"DE, international",YES,98,98 Wikipedia languages | Known nationality: DE | International (20+ langs),,69136cb59a7ab512fd98e81c
Usain Bolt,sport,JM,"JM, international",YES,118,118 Wikipedia languages | Known nationality: JM | International (20+ langs),,69be73afd197e3104fe84602
Virat Kohli,sport,IN,"IN, international",YES,54,54 Wikipedia languages | Known nationality: IN | International (20+ langs),,69be73afd197e3104fe8460c
Vladimir Putin,politics,RU,"RU, international",YES,231,231 Wikipedia languages | Known nationality: RU | International (20+ langs),,69136cb59a7ab512fd98e81a
Volodymyr Zelenskyy,politics,UA,"UA, international",YES,172,172 Wikipedia languages | Known nationality: UA | International (20+ langs),,69136cb59a7ab512fd98e81b
Warren Buffett,business,US,"US, international",YES,103,103 Wikipedia languages | Known nationality: US | International (20+ langs),,69136cb59a7ab512fd98e804
Xi Jinping,politics,CN,"CN, international",YES,155,155 Wikipedia languages | Known nationality: CN | International (20+ langs),,69136cb59a7ab512fd98e812
Zendaya,culture,US,"US, international",YES,88,88 Wikipedia languages | Known nationality: US | International (20+ langs),,69724f6baabde3d610cdddd6
trump,other,??,,NO,0,No Wikipedia data,,69218d32eb5ca215ead893c1
